title,description,identifier,license,license_name,issued,modified,publisher,distribution
Community amateur sports clubs (CASCs) registered with HMRC,Check which sports clubs are registered with HMRC as community amateur sports clubs as at April 2018.,casc,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence v3.0,,,"{'name': 'HMRC', 'website': 'https://www.gov.uk/government/organisations/hm-revenue-customs'}","[{'downloadURL': 'https://www.gov.uk/government/publications/community-amateur-sports-clubs-casc-registered-with-hmrc--2/d-e-f-g', 'accessURL': 'https://www.gov.uk/government/publications/community-amateur-sports-clubs-casc-registered-with-hmrc--2', 'title': 'Community amateur sports clubs (CASCs) registered with HMRC - D, E, F, G'}]"
Charity Commission for Northern Ireland charity search,,ccni,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence v3.0,,2020-04-20T22:28:49.892923,"{'name': 'Charity Commission for Northern Ireland', 'website': 'https://www.education-ni.gov.uk/'}","[{'downloadURL': 'https://www.charitycommissionni.org.uk/umbraco/api/charityApi/ExportSearchResultsToCsv/?include=Linked&include=Removed', 'accessURL': 'http://www.charitycommissionni.org.uk/charity-search/', 'title': 'Charity Commission for Northern Ireland charity search'}]"
Government organisations on GOV.UK register,"Government departments, agencies or teams that are on the GOV.UK website",gor,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence v3.0,,2020-04-20T22:29:10.327973,"{'name': 'Cabinet Office', 'website': 'https://www.gov.uk/government/organisations/cabinet-office'}","[{'downloadURL': 'https://government-organisation.register.gov.uk/records.csv?page-size=5000', 'accessURL': 'https://www.registers.service.gov.uk/registers/government-organisation/', 'title': 'Government organisations on GOV.UK register'}]"
Global Research Identifiers Database,"The Global Research Identifiers Database collects information on research institutions and assigns them a unique identifier.

It draws on information from funding datasets, and claims over 90% coverage of institutions.

It records information on the nature of the research organisation, covering companies, education establishments, healthcare, non-profits, government and other entity types.

GRID also records parent-child relationships between entities, and 'related relationships' for cross-linkages.

It includes cross-linkages to a range of other identifier sources.",grid,https://creativecommons.org/publicdomain/zero/1.0/,Creative Commons Public Domain 1.0 International licence,,2020-04-20T22:29:12.780786,"{'name': 'Digital Science', 'website': 'http://www.digital-science.com/'}","[{'downloadURL': '//doi.org/10.6084/m9.figshare.12022722', 'accessURL': 'https://www.grid.ac/downloads', 'title': 'GRID Download'}]"
Higher Education Statistics Agency,"Higher Education Statistics Agency - we are the experts in UK higher education data and analysis, and the designated data body for England. We collect, process, and publish data about higher education (HE) in the UK. As the trusted source of HE data and analysis, we play a key role in supporting and enhancing the competitive strength of the sector.",hesa,https://creativecommons.org/licenses/by/4.0/,Creative Commons Attribution 4.0 International Licence,,2020-04-20T22:29:24.703035,"{'name': 'HESA', 'website': 'https://www.hesa.ac.uk/'}","[{'downloadURL': 'https://www.hesa.ac.uk/support/providers', 'accessURL': 'https://www.hesa.ac.uk/support/providers', 'title': 'HESA - Higher education providers'}]"
Local authorities in England register,Local authorities in England,lae,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence v3.0,,2020-04-20T22:29:25.680714,"{'name': 'Ministry of Housing, Communities and Local Government', 'website': 'https://www.gov.uk/government/organisations/ministry-of-housing-communities-and-local-government'}","[{'downloadURL': 'https://local-authority-eng.register.gov.uk/records.csv?page-size=5000', 'accessURL': 'https://www.registers.service.gov.uk/registers/local-authority-eng/', 'title': 'Local authorities in England register'}]"
Local authorites in Northern Ireland register,Local authorities in Northern Ireland,lani,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence v3.0,,2020-04-20T22:29:27.266028,"{'name': 'Department for Communities (Northern Ireland)', 'website': 'https://www.communities-ni.gov.uk/'}","[{'downloadURL': 'https://local-authority-nir.register.gov.uk/records.csv?page-size=5000', 'accessURL': 'https://www.registers.service.gov.uk/registers/local-authority-nir/', 'title': 'Local authorites in Northern Ireland register'}]"
Local authorites in Scotland register,Local authorities in Scotland,las,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence v3.0,,2020-04-20T22:29:28.433525,"{'name': 'Scottish Government', 'website': 'https://gov.scot/'}","[{'downloadURL': 'https://local-authority-sct.register.gov.uk/records.csv?page-size=5000', 'accessURL': 'https://www.registers.service.gov.uk/registers/local-authority-sct/', 'title': 'Local authorites in Scotland register'}]"
NHS Organisation Data Service downloads,,nhsods,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence v3.0,,2020-04-20T22:29:29.684637,"{'name': 'NHS Digital', 'website': 'https://digital.nhs.uk/'}","[{'downloadURL': 'https://files.digital.nhs.uk/assets/ods/current/espha.zip', 'accessURL': 'https://digital.nhs.uk/services/organisation-data-service/data-downloads', 'title': 'NHS Digital Organisation Data Service - Special Health Authorities'}, {'downloadURL': 'https://files.digital.nhs.uk/assets/ods/current/ecsu.zip', 'accessURL': 'https://digital.nhs.uk/services/organisation-data-service/data-downloads', 'title': 'NHS Digital Organisation Data Service - Commissioning Support Units'}, {'downloadURL': 'https://files.digital.nhs.uk/assets/ods/current/ensa.zip', 'accessURL': 'https://digital.nhs.uk/services/organisation-data-service/data-downloads', 'title': 'NHS Digital Organisation Data Service - NHS Support Agencies and Shared Services'}, {'downloadURL': 'https://files.digital.nhs.uk/assets/ods/current/epraccur.zip', 'accessURL': 'https://digital.nhs.uk/services/organisation-data-service/data-downloads', 'title': 'NHS Digital Organisation Data Service - GP practices'}, {'downloadURL': 'https://files.digital.nhs.uk/assets/ods/current/eccg.zip', 'accessURL': 'https://digital.nhs.uk/services/organisation-data-service/data-downloads', 'title': 'NHS Digital Organisation Data Service - Clinical Commissioning Groups'}, {'downloadURL': 'https://files.digital.nhs.uk/assets/ods/current/etr.zip', 'accessURL': 'https://digital.nhs.uk/services/organisation-data-service/data-downloads', 'title': 'NHS Digital Organisation Data Service - NHS Trusts'}, {'downloadURL': 'https://files.digital.nhs.uk/assets/ods/current/ect.zip', 'accessURL': 'https://digital.nhs.uk/services/organisation-data-service/data-downloads', 'title': 'NHS Digital Organisation Data Service - Care Trusts'}, {'downloadURL': 'https://files.digital.nhs.uk/assets/ods/current/wlhb.zip', 'accessURL': 'https://digital.nhs.uk/services/organisation-data-service/data-downloads', 'title': 'NHS Digital Organisation Data Service - Welsh Local Health Boards'}]"
NHS Organisation Data Service downloads,,nhsods,http://www.nationalarchives.gov.uk/doc/open-government-licence/version/3/,Open Government Licence v3.0,,2020-04-20T22:29:29.684637,"{'name': 'NHS Digital', 'website': 'https://digital.nhs.uk/'}","[{'downloadURL': 'https://files.digital.nhs.uk/assets/ods/current/espha.zip', 'accessURL': 'https://digital.nhs.uk/services/organisation-data-service/data-downloads', 'title': 'NHS Digital Organisation Data Service - Special Health Authorities'}, {'downloadURL': 'https://files.digital.nhs.uk/assets/ods/current/ecsu.zip', 'accessURL': 'https://digital.nhs.uk/services/organisation-data-service/data-downloads', 'title': 'NHS Digital Organisation Data Service - Commissioning Support Units'}, {'downloadURL': 'https://files.digital.nhs.uk/assets/ods/current/ensa.zip', 'accessURL': 'https://digital.nhs.uk/services/organisation-data-service/data-downloads', 'title': 'NHS Digital Organisation Data Service - NHS Support Agencies and Shared Services'}, {'downloadURL': 'https://files.digital.nhs.uk/assets/ods/current/epraccur.zip', 'accessURL': 'https://digital.nhs.uk/services/organisation-data-service/data-downloads', 'title': 'NHS Digital Organisation Data Service - GP practices'}, {'downloadURL': 'https://files.digital.nhs.uk/assets/ods/current/eccg.zip', 'accessURL': 'https://digital.nhs.uk/services/organisation-data-service/data-downloads', 'title': 'NHS Digital Organisation Data Service - Clinical Commissioning Groups'}, {'downloadURL': 'https://files.digital.nhs.uk/assets/ods/current/etr.zip', 'accessURL': 'https://digital.nhs.uk/services/organisation-data-service/data-downloads', 'title': 'NHS Digital Organisation Data Service - NHS Trusts'}, {'downloadURL': 'https://files.digital.nhs.uk/assets/ods/current/ect.zip', 'accessURL': 'https://digital.nhs.uk/services/organisation-data-service/data-downloads', 'title': 'NHS Digital Organisation Data Service - Care Trusts'}, {'downloadURL': 'https://files.digital.nhs.uk/assets/ods/current/wlhb.zip', 'accessURL': 'https://digital.nhs.uk/services/organisation-data-service/data-downloads', 'title': 'NHS Digital Organisation Data Service - Welsh Local Health Boards'}]"
